dms_orig,dms_dest,distance
12,393,1133.7
12,394,1090.6
12,399,1217.5
12,401,1028.6
12,402,963.0
12,409,1060.1
12,411,3415.0
12,419,3196.8
12,421,1540.8
12,422,1316.3
12,423,1609.5
12,429,1468.3
12,441,1907.2
12,451,794.9
12,452,691.0
12,459,774.1
12,460,1867.9
12,471,534.1
12,472,595.8
12,473,700.8
12,479,573.3
12,481,932.7
12,482,604.4
12,483,1004.1
12,484,881.8
12,485,1679.1
12,486,737.7
12,487,1152.0
12,488,1036.0
12,489,1121.9
12,491,2477.6
12,499,2304.4
12,500,2003.7
12,511,1223.9
12,512,1275.2
12,513,1291.8
12,519,1068.3
12,531,3457.5
12,532,3412.1
12,539,3310.8
12,540,1109.2
12,551,1377.6
12,559,1578.6
12,560,2209.6
19,11,63.0
19,12,272.2
19,19,0.0
19,20,5587.0
19,41,2358.2
19,42,2338.8
19,49,2302.1
19,50,569.2
19,61,2761.7
19,62,3146.5
19,63,2795.6
19,64,3228.8
19,65,3025.5
19,69,2988.3
19,81,1783.4
19,89,1825.7
19,91,1588.8
19,92,1531.9
19,99,1618.7
19,101,1230.2
19,109,1213.3
19,111,1101.4
19,121,567.1
19,122,929.2
19,123,696.1
19,124,671.3
19,129,387.8
19,131,246.2
19,132,506.7
19,139,327.8
19,151,7041.0
19,159,6909.0
19,160,2722.8
19,171,987.3
19,172,709.6
19,179,807.0
19,181,933.8
19,182,750.1
19,183,920.4
19,189,749.5
19,190,1176.9
19,201,999.1
19,202,1087.2
19,209,1243.1
19,211,575.6
19,212,683.3
19,219,516.9
19,221,488.3
19,222,696.8
19,223,435.7
19,229,552.9
19,230,2038.2
19,241,1159.7
19,242,1100.1
19,249,1149.9
19,251,1720.2
19,259,1613.0
19,261,1116.2
19,262,1120.4
19,269,1367.6
19,271,1474.7
19,279,1638.9
19,280,271.5
19,291,967.3
19,292,721.8
19,299,780.8
19,300,2488.8
19,311,1259.5
19,319,1507.7
19,321,2701.9
19,329,2792.5
19,331,1755.3
19,339,1797.6
19,341,1383.7
19,342,1292.1
19,350,1799.2
19,361,1583.8
19,362,1298.8
19,363,1492.2
19,364,1389.9
19,369,1518.1
19,371,613.3
19,372,707.6
19,373,805.1
19,379,887.7
19,380,1984.2
19,391,738.4
19,392,1047.8
19,393,861.5
19,394,820.9
19,399,947.1
19,401,1021.5
19,402,919.0
19,409,1052.6
19,411,3360.7
19,419,3149.6
19,421,1286.9
19,422,1047.3
19,423,1351.8
19,429,1202.9
19,441,1657.6
19,451,631.3
19,452,457.6
19,459,582.5
19,460,1729.5
19,471,375.4
19,472,337.6
19,473,432.2
19,479,360.1
19,481,1073.9
19,482,773.0
19,483,1203.7
19,484,949.2
19,485,1774.7
19,486,905.2
19,487,1335.0
19,488,1191.8
19,489,1223.3
19,491,2447.6
19,499,2297.6
19,500,1740.5
19,511,984.3
19,512,1046.9
19,513,1039.2
19,519,817.0
19,531,3380.6
19,532,3348.0
19,539,3229.9
19,540,843.8
19,551,1135.5
19,559,1349.2
19,560,2133.3
20,11,5536.4
20,12,5742.3
20,19,5587.0
20,20,0.0
20,41,4394.4
20,42,4525.5
20,49,4262.0
20,50,5124.2
20,61,4080.3
20,62,3466.5
20,63,4220.9
20,64,3546.0
20,65,3721.9
20,69,3784.8
20,81,4079.1
20,89,4125.5
20,91,5459.6
20,92,5453.7
20,99,5493.6
20,101,5539.5
20,109,5605.0
20,111,5503.5
20,121,6096.4
20,122,6501.2
20,123,6252.3
20,124,6252.9
20,129,5972.6
20,131,5628.8
20,132,5925.2
20,139,5805.2
20,151,4744.6
20,159,4936.7
20,160,3205.3
20,171,4697.4
20,172,4888.0
20,179,4814.5
20,181,4790.3
20,182,4993.5
20,183,4903.4
20,189,4980.6
20,190,4411.9
20,201,4625.7
20,202,4642.3
20,209,4485.2
20,211,5166.3
20,212,5156.7
20,219,5236.8
20,221,5598.6
20,222,5553.5
20,223,5721.5
20,229,5475.6
20,230,5296.5
20,241,5489.2
20,242,5499.6
20,249,5604.4
20,251,5489.8
20,259,5389.0
20,261,4859.0
20,262,4698.0
20,269,4505.6
20,271,4138.3
20,279,3984.3
20,280,5465.5
20,291,4639.7
20,292,4865.8
20,299,4814.1
20,300,3197.8
20,311,4344.3
20,319,4148.8
20,321,3805.9
20,329,3535.3
20,331,5382.0
20,339,5298.2
20,341,5476.2
20,342,5548.6
20,350,4531.0
20,361,5284.2
20,362,5069.9
20,363,5454.9
20,364,5096.2
20,369,5178.9
